checkthat_lang,in_xl-wa,nllb_code
English,y,eng_Latn
Italian,y,ita_Latn
Russian,y,rus_Cyrl
Spanish,y,spa_Latn
Arabic,y,arb_Arab
Portuguese,y,por_Latn
Slovenian,y,slv_Latn
Bulgarian,y,bul_Cyrl
Greek,n,ell_Grek
Georgian,n,kat_Geor
Polish,n,pol_Latn
German,n,deu_Latn
French,n,fra_Latn
